V_pop,1,-0.674207,0.254525,-0.164913,0.0931932,-0.0839919,0.0692613,-0.0816632,-0.0447531,-0.00596498,0,0,0,0,0,0,0
k_pop,-0.674207,1,-0.791765,-0.211427,-0.0257804,0.0195913,-0.0317383,0.0581111,0.0251166,-0.0222184,0,0,0,0,0,0,0
beta_k_GFR_MDRD_,0.254525,-0.791765,1,0.181537,-0.0501566,0.0518451,0.0205344,-0.043944,-0.00563048,0.0334535,0,0,0,0,0,0,0
k12_pop,-0.164913,-0.211427,0.181537,1,0.0207047,-0.017866,-0.119388,0.0768288,0.210618,0.0393633,0,0,0,0,0,0,0
k21_pop,0.0931932,-0.0257804,-0.0501566,0.0207047,1,-0.999451,-0.0498937,0.169128,0.0457147,-0.23441,0,0,0,0,0,0,0
beta_k21_baseline,-0.0839919,0.0195913,0.0518451,-0.017866,-0.999451,1,0.0561473,-0.176946,-0.0457973,0.238885,0,0,0,0,0,0,0
Cc_baseline_pop,0.0692613,-0.0317383,0.0205344,-0.119388,-0.0498937,0.0561473,1,-0.868303,-0.474532,-0.36864,0,0,0,0,0,0,0
beta_Cc_baseline_age,-0.0816632,0.0581111,-0.043944,0.0768288,0.169128,-0.176946,-0.868303,1,0.177462,0.0420209,0,0,0,0,0,0,0
beta_Cc_baseline_baseline,-0.0447531,0.0251166,-0.00563048,0.210618,0.0457147,-0.0457973,-0.474532,0.177462,1,0.167133,0,0,0,0,0,0,0
beta_Cc_baseline_SEX_Male,-0.00596498,-0.0222184,0.0334535,0.0393633,-0.23441,0.238885,-0.36864,0.0420209,0.167133,1,0,0,0,0,0,0,0
omega_V,0,0,0,0,0,0,0,0,0,0,1,-0.109295,0.738141,0.0824631,-0.179491,0.0549926,-0.120649
corr_k_V,0,0,0,0,0,0,0,0,0,0,-0.109295,1,-0.281564,-0.454348,0.0154283,0.0728269,-0.167134
omega_k,0,0,0,0,0,0,0,0,0,0,0.738141,-0.281564,1,-0.0481059,-0.110204,0.0163362,-0.0542009
omega_k12,0,0,0,0,0,0,0,0,0,0,0.0824631,-0.454348,-0.0481059,1,-0.0264238,-0.0112008,-0.0045027
omega_k21,0,0,0,0,0,0,0,0,0,0,-0.179491,0.0154283,-0.110204,-0.0264238,1,-0.0237817,-0.123251
omega_Cc_baseline,0,0,0,0,0,0,0,0,0,0,0.0549926,0.0728269,0.0163362,-0.0112008,-0.0237817,1,-0.421795
b,0,0,0,0,0,0,0,0,0,0,-0.120649,-0.167134,-0.0542009,-0.0045027,-0.123251,-0.421795,1
